# Pointwise relative error of two-stream fit to Zheleznyak (1982)
# Generated:  2026-05-05T08:42:07
# Command:    Zheleznyak.py --ngroups 8 --threshold 1E-6 --write-to-file zheleznyak
# ngroups=8,  n_kept=6,  threshold=1.0e-06
# RMS relative error = 0.484 %
# 
# Columns:
#   chi            : reduced path length p_O2*r  [Pa m]
#   rel_error_pct  : |K_twostream - K_zheleznyak| / K_zheleznyak * 100  [%]
#
#                    chi           rel_error_pct
          7.00866075e-02          1.82274291e-01
          7.03656964e-02          1.81677762e-01
          7.06458966e-02          1.81079209e-01
          7.09272126e-02          1.80478626e-01
          7.12096489e-02          1.79876009e-01
          7.14932098e-02          1.79271352e-01
          7.17778998e-02          1.78664649e-01
          7.20637235e-02          1.78055896e-01
          7.23506854e-02          1.77445086e-01
          7.26387900e-02          1.76832215e-01
          7.29280418e-02          1.76217277e-01
          7.32184455e-02          1.75600268e-01
          7.35100055e-02          1.74981181e-01
          7.38027266e-02          1.74360011e-01
          7.40966132e-02          1.73736753e-01
          7.43916702e-02          1.73111402e-01
          7.46879021e-02          1.72483952e-01
          7.49853136e-02          1.71854399e-01
          7.52839094e-02          1.71222736e-01
          7.55836943e-02          1.70588958e-01
          7.58846729e-02          1.69953061e-01
          7.61868500e-02          1.69315038e-01
          7.64902304e-02          1.68674885e-01
          7.67948189e-02          1.68032596e-01
          7.71006202e-02          1.67388166e-01
          7.74076393e-02          1.66741590e-01
          7.77158810e-02          1.66092862e-01
          7.80253501e-02          1.65441977e-01
          7.83360515e-02          1.64788929e-01
          7.86479901e-02          1.64133715e-01
          7.89611709e-02          1.63476327e-01
          7.92755989e-02          1.62816761e-01
          7.95912788e-02          1.62155012e-01
          7.99082159e-02          1.61491075e-01
          8.02264150e-02          1.60824944e-01
          8.05458811e-02          1.60156613e-01
          8.08666195e-02          1.59486078e-01
          8.11886350e-02          1.58813334e-01
          8.15119328e-02          1.58138375e-01
          8.18365180e-02          1.57461196e-01
          8.21623957e-02          1.56781791e-01
          8.24895710e-02          1.56100156e-01
          8.28180492e-02          1.55416286e-01
          8.31478354e-02          1.54730175e-01
          8.34789349e-02          1.54041817e-01
          8.38113528e-02          1.53351209e-01
          8.41450944e-02          1.52658344e-01
          8.44801650e-02          1.51963217e-01
          8.48165699e-02          1.51265824e-01
          8.51543143e-02          1.50566159e-01
          8.54934037e-02          1.49864217e-01
          8.58338433e-02          1.49159993e-01
          8.61756386e-02          1.48453481e-01
          8.65187949e-02          1.47744677e-01
          8.68633177e-02          1.47033576e-01
          8.72092124e-02          1.46320172e-01
          8.75564845e-02          1.45604461e-01
          8.79051394e-02          1.44886437e-01
          8.82551827e-02          1.44166095e-01
          8.86066199e-02          1.43443431e-01
          8.89594566e-02          1.42718438e-01
          8.93136982e-02          1.41991113e-01
          8.96693505e-02          1.41261450e-01
          9.00264190e-02          1.40529444e-01
          9.03849093e-02          1.39795090e-01
          9.07448272e-02          1.39058383e-01
          9.11061783e-02          1.38319319e-01
          9.14689684e-02          1.37577892e-01
          9.18332030e-02          1.36834097e-01
          9.21988881e-02          1.36087930e-01
          9.25660294e-02          1.35339385e-01
          9.29346326e-02          1.34588458e-01
