# Convolution of a Gaussian source with Zheleznyak and two-stream kernels
# Generated:  2026-05-05T08:42:07
# Command:    Zheleznyak.py --ngroups 8 --threshold 1E-6 --write-to-file zheleznyak
# ngroups=8,  n_kept=6,  threshold=1.0e-06
# Source: Gaussian centred at 0.3*x_max, sigma = 0.04*x_max
# x_max = 1.523680e+02 Pa m  (= 4 / lambda1)
# All convolution values normalised by max(conv_zheleznyak)
# 
# Columns:
#   x                  : reduced coordinate p_O2*r  [Pa m]
#   source             : normalised Gaussian source (max = 1)  [dimensionless]
#   conv_zheleznyak    : photoionisation rate, Zheleznyak kernel, normalised  [dimensionless]
#   conv_twostream     : photoionisation rate, two-stream kernel, normalised  [dimensionless]
#
#                      x                  source         conv_zheleznyak          conv_twostream
          7.04606611e+01          6.88706713e-08          5.08147340e-02          5.10247460e-02
          7.07150317e+01          4.89849105e-08          4.99134637e-02          5.01298736e-02
          7.09694023e+01          3.47198081e-08          4.90348291e-02          4.92568217e-02
          7.12237730e+01          2.45233224e-08          4.81780225e-02          4.84048035e-02
          7.14781436e+01          1.72610930e-08          4.73422757e-02          4.75730738e-02
          7.17325142e+01          1.21072155e-08          4.65268573e-02          4.67609260e-02
          7.19868848e+01          8.46266684e-09          4.57310708e-02          4.59676897e-02
          7.22412554e+01          5.89463896e-09          4.49542520e-02          4.51927282e-02
          7.24956260e+01          4.09160943e-09          4.41957673e-02          4.44354360e-02
          7.27499967e+01          2.83020651e-09          4.34550117e-02          4.36952373e-02
          7.30043673e+01          1.95087334e-09          4.27314071e-02          4.29715836e-02
          7.32587379e+01          1.34006855e-09          4.20244011e-02          4.22639523e-02
          7.35131085e+01          9.17301180e-10          4.13334650e-02          4.15718448e-02
          7.37674791e+01          6.25725540e-10          4.06580929e-02          4.08947854e-02
          7.40218497e+01          4.25346444e-10          3.99978001e-02          4.02323192e-02
          7.42762204e+01          2.88130162e-10          3.93521222e-02          3.95840118e-02
          7.45305910e+01          1.94500909e-10          3.87206139e-02          3.89494473e-02
          7.47849616e+01          1.30840303e-10          3.81028481e-02          3.83282274e-02
          7.50393322e+01          8.77098646e-11          3.74984148e-02          3.77199705e-02
          7.52937028e+01          5.85925412e-11          3.69069201e-02          3.71243107e-02
          7.55480735e+01          3.90052640e-11          3.63279859e-02          3.65408969e-02
          7.58024441e+01          2.58756401e-11          3.57612486e-02          3.59693920e-02
          7.60568147e+01          1.71059019e-11          3.52063586e-02          3.54094719e-02
          7.63111853e+01          1.12690640e-11          3.46629793e-02          3.48608250e-02
          7.65655559e+01          7.39804058e-12          3.41307872e-02          3.43231516e-02
          7.68199265e+01          4.83985740e-12          3.36094706e-02          3.37961632e-02
          7.70742972e+01          3.15526192e-12          3.30987290e-02          3.32795816e-02
          7.73286678e+01          2.04986501e-12          3.25982734e-02          3.27731388e-02
          7.75830384e+01          1.32709527e-12          3.21078246e-02          3.22765764e-02
          7.78374090e+01          8.56181683e-13          3.16271138e-02          3.17896450e-02
          7.80917796e+01          5.50448584e-13          3.11558815e-02          3.13121035e-02
          7.83461503e+01          3.52658681e-13          3.06938774e-02          3.08437195e-02
          7.86005209e+01          2.25153858e-13          3.02408596e-02          3.03842678e-02
          7.88548915e+01          1.43248869e-13          2.97965947e-02          2.99335312e-02
          7.91092621e+01          9.08217786e-14          2.93608573e-02          2.94912990e-02
          7.93636327e+01          5.73820155e-14          2.89334294e-02          2.90573677e-02
          7.96180033e+01          3.61283883e-14          2.85141005e-02          2.86315400e-02
          7.98723740e+01          2.26677478e-14          2.81026667e-02          2.82136248e-02
          8.01267446e+01          1.41727834e-14          2.76989312e-02          2.78034369e-02
